Q1,高速道路で緊急自動車が本線へ入ろうとしているときは、その通行を妨げてはならない。,○
Q2,この標示の路側帯に入って駐車することはできないが停車することはできる。,×
Q3,片側が転落の恐れのある崖になっている道路で、安全な行き違いができないときは、山側の車が一時停止して道をゆずるのがよい。,×
Q4,歩道の縁石にこのような黄色の標示があるときは、その場所に停車してはならない。,×
Q5,高速自動車国道の本線車道で中央分離帯のあるところでは、大型貨物自動車の法定最高速度は、90キロメートル毎時である。,○
Q6,普通免許では、小型特殊自動車は運転できないが原動機付自転車は運転できる。,×
Q7,自動車で走行中に前車を追い越す場合、前車が右折のため道路の中央に寄って通行している時などを除いて、その右側を通行しなければならない。,○
Q8,故障車をけん引するときは、けん引の免許は必要ない。,○
Q9,この標示の中に車を乗り入れてはならない。,○
Q10,下り坂などでブレーキが効かなくなった時などは、ブレーキを数回踏み、すばやく減速チェンジをしてハンドブレーキを引きそれでも停止しないようなときは、山側の溝に車輪を落としたりガードレールに車体をすり寄せたりして止めるのがよい。,○
Q11,ぬかるみなどで車輪が空回りするときは、一番強いローギアに入れ、アクセルを強く踏み込み、一気に出るのがよい。,×
Q12,やむを得ず急ブレーキをかけるときは、クラッチとブレーキを同時に踏みこむ。,×
Q13,この補助標識は本標識が表示する交通規制の終わりであることを表している。,○
Q14,この標識のあるところでは、タクシーの運転者は、客待ちのために継続的に車を停止させることができる。,×
Q15,交通事故で車が破損したが、相手に外傷がなく医師の診断結果にも異常がないので警察官には届けなかった。,×
Q16,この標識は「駐車場」を表している。,×
Q17,この路側帯に入って駐停車するときは、車の左側に0.75メートルの余地をとらなけらばならない。,○
Q18,自賠責の証明書、または責任共済の有効期限が過ぎているバスやタクシーを運転した場合には、その所有者である会社と運転者が責任を負わなければならない。,○
Q19,昼間、車が故障して道路に駐車するときは、停止標示器材を置いたりトランクを開けたりして、故障車であることをわかるようにするのがよい。,○
Q20,この標識の道路では、乗客を乗せたタクシーであっても通行することはできない。,○
Q21,軌道敷内を通行している車は後方から路面電車が近づいて来たときは、路面電車の通行を妨げないようにすみやかに軌道敷内から出るか十分な距離を保たなければならない。,○
Q22,優先道路以外の道路で交差点から30メートル手前の場所では、自動車や原動機付自転車を追い越すために進路を変えたり、その横を通り過ぎたりしてはならない。,○
Q23,車を運転中、大規模な地震が発生する恐れがあるとして警戒宣言が発せられたので、地震の発生する前に速度を十分落とすと共に、ラジオで情報を聞くようにした。,○
Q24,観光バスを運転中、崖崩れのため狭くなっている山道にさしかかったので、乗客に降りてもらい車掌の誘導で通り抜けた。,○
Q25,自動車の速度と燃料消費量には密接な関係があり、速度が低すぎても高すぎても燃料消費量は多くなる。,○
Q26,車両通行帯のないトンネルでは、中央線から右側部分にはみ出さなければ追い越すことができる。,×
Q27,タクシーを運転中、携帯電話を使って営業所の配車担当者と通話しながら運転した。,×
Q28,後輪が横滑りを始めたときは、まずアクセルをゆるめ、同時にハンドルで車の向きを立て直すのがよい。,○
Q29,昼間でも、前方50メートル(高速道路では200メートル)先が見えないようなトンネルや道路などでは、照明があっても前照灯をつけなければならない。,○
Q30,車両通行帯のないトンネルを通行している普通自動二輪車が、進路を変えることなく前方を通行している車の側方を通って前方に出た。,○
Q31,この標識は乗用車の通行止めを意味しているので、二輪車や普通貨物自動車は通行することができる。,×
Q32,道路の曲がり角付近では、見通しが効く場合を除いて徐行しなければならない。,×
Q33,観光バスを運転して踏切を通過するときは、車掌の誘導に従えば一時停止する必要はなく安全確認だけでよい。,×
Q34,タクシーの運転者は、深夜眠気を感じてので、安全な場所に車を止め、回送板を掲示して仮眠をとった。,○
Q35,初心者マークは免許を受けて一年を経験していない者だけでなく、運転に自信のない者もつけなけらばならない。,×
Q36,幼児などは、運転者の目の届きやすい前部座席に乗せる方ががよい。,×
Q37,信号機の青の灯火は、「進め」だから、前方の交通に関係なくすぐに発進しなければならない。,×
Q38,この標示のある場所では、BからAの方向に進路を変えることはできない。,○
Q39,カーブを回るとき、その半径が小さいほど遠心力の大きさは小さくなる。,×
Q40,この標示は、前方に優先道路があることを表している。,×
Q41,路面電車を追い越す時は、軌道が道路の左側に寄って設けられているときを除き、その左側を通行することができる。,○
Q42,ブレーキペダルの踏みごたえが柔らかくなっているときは、ブレーキオイルの液もれの恐れがある。,○
Q43,普通乗用車が車両総重量が同じである普通乗用車をロープでけん引するときの最高速度は、30キロメートル毎時である。,○
Q44,交通整理の行われていない横断歩道とその手前から30メートル以内の場所では、他の車(軽車両を除く)を追い越したり追い抜いたりしてはならない。,○
Q45,乗車定員が6人のタクシーには、客として大人3人と11才の子供3人を乗車させることはできない。,×
Q46,タクシーの運転手は、坂道で車から離れるときは、輪止めなどの安全措置をとったとしても、乗客を降ろさなければならない。,○
Q47,進路の前方に障害物がある場所で対向車と行き違うときは、障害物がある側を通行する車のほうが危険度が高いので、反対車線の車に道をゆずる必要はない。,×
Q48,この信号機の信号に対面する車は、交差点を徐行して通行することができる。,×
Q49,旅客自動車の運転者は、病気や疲労などにより安全な運転ができないときは、事業所に申し出なければならない。,○
Q50,車を運転している時は、高速になると視力が低下し、特に遠くの物が見えにくくなるので注意しなければならない。,×
Q51,一般道路では、普通自動二輪車の法定最高速度は、50キロメートル毎時である。,×
Q52,交通事故が起きたときは、過失の大きい方が警察に届けなければならない。,×
Q53,自家用の大型バスを運転するときは、大型二種免許が必要である。,×
Q54,この標示と標識のある車両通行帯では、原動機付自転車、軽車両は通行できるが、小型特殊自動車は通行してはならない。,×
Q55,この標識は転回禁止の規制標識である。従って、車はこの標識のあるところでは転回してはいけない。,×
Q56,横断歩道とその手前30メートル以内の場所では、自動車と原動機付自転車を追い越すため進路を変えたりその横を通りすぎてはならない。,○
Q57,旅客自動車を運転して、工事中などの悪路を通過するときは、乗客に声をかけて注意を促すのがよい。,○
Q58,高速道路の本線車線に入ろうとするときは、加速車線を通行して十分加速しなければならない。,○
Q59,高速道路で追い越しをする場合は、早めに合図し、追い越し車線の車の動きに注意してから行い、特に進路を戻す時は、車全体がルームミラーに写ったことを確認してから行なうようにしなけらばならない。,○
Q60,こう配の急な下り坂、上り坂、共に停車も駐車もしてはならない。,○
Q61,歩道、路側帯を横切る時は、徐行しなければならない。,×
Q62,警察官による手信号や灯火による信号が信号機の信号と違う場合、警察官の信号が優先する。,○
Q63,図の本線車道が合流しているところで、B車がA車の進行を妨げないように速度を落として通行した。,○
Q64,この標識のある場所では、タクシーは客の乗り降りのためであっても、駐停車禁止である。,○
Q65,この標識は「車両通行止め」をあらわしている。,×
Q66,大型第二種免許では、大型特殊自動車を運転することはできない。,○
Q67,AT車のエンジン始動直後やエアコン作動時は、エンジンの回転数が低くなるので、アクセルをふんでかける。,×
Q68,狭い坂道で行き違う時、近くに待避所がある場合は、上りの車が待避所に入って、下りの車の通過を待ってから通行する。,○
Q69,路面電車が乗客の乗り降りのため停車して止まっている場合、乗客の乗り降りが終わるまでその後方で停止しなければならないが、安全地帯があるときは、乗り降りする人がいても一時停止や徐行する必要はない。,×
Q70,この標識がある通行帯では、大型貨物自動車と中型貨物自動車、大型特殊自動車は、もっとも左の車両通行帯を通行しなければならない。,○
Q71,この標示は、前方に交差点があることを表している。,×
Q72,この図のように矢印の交通に対する警察官の灯火による手信号の意味は、信号機の青信号と同じである。,×
Q73,荷物の見張りのため必要最小限度の人をトラックの荷台に乗せる時は、警察署長の許可を受けなくてもよい。,○
Q74,他の車に追い越される時に、相手に追い越しのための十分な余地がないときでも、進路をゆずる必要はない。,×
Q75,走行中にタイヤがパンクしたときは、車が思わぬ方向に進み危険なのでハンドルをしっかりと握り急ブレーキを掛け早く停止した方がよい。,×
Q76,これらの標識のある場所では、車両はこの先、進入(通行)することはできない。,○
Q77,他の車をけん引しているため50キロメートル毎時以上の速度で走ることができない自動車は、高速自動車国道を通行できない。,○
Q78,霧の日は早めに前照灯をつけるが、下向きにすると路面から反射するので上向きがよい。,×
