id,text,label
1,登坂 車線 ある 高速 自動 車 国道 大型 貨物 自動 車 必ず 登坂 車線 通行 し なけれ なら ない,0
2,前方 自転 車 追い越そう し た 左右 ふらつい おり 危険 予測 さ れ た で 危険 避ける ため やむ 得 ず 警音 器 鳴らし た,1
3,バス 運転 手 乗客 少なけれ 乗客 世間 話 し よい,0
4,路線 バス 運転 者 運転 中 ドア 故障 し 閉まら なく なっ た 乗客 少なかっ た で 乗客 注意 する よう に 言っ 運転 続け た,0
5,路線 バス 運転 者 客 乗り降り ため 停止 中 窓 手 出し いる 乗客 い た で 注意 し やめ させ た,1
6,タイヤ 空気 圧 ウェア インジケーター 点検 する よい,0
7,事業 用 自動 車 自家 用 大型 車 及び 自家 用 普通 貨物 自動 車 6 ヶ月 点検 し 必要 な 整備 しな けら なら ない,0
8,夜間 一般 道路 駐車 する とき 道路 照明 より 50 メートル 後方 明瞭 に 見える 場所 で あっ 非常 点滅 灯 駐車 灯 又 尾灯 つけ なけれ なら ない,0
9,道路 曲がり角 付近 見通し 効く 場合 で あっ 徐行 し なけれ なら ない,1
10,路線 バス 運転 者 運行 予定 時間 どおり 運行 する ため 多少 急 発進 急 加速 し やむ 得 ない,0
11,バス 運転 者 警報 装置 ない 踏切 車掌 誘導 従っ 通過 する とき 乗降 口 ドア 開け おか なけれ なら ない,0
12,タクシー 運転 中 乗客 歩行 者 用 道路 通る よう に 求め られ た で 歩行 者 注意 し 通行 し た,0
13,歩道 路側 帯 ない 道路 駐車 停車 する とき 道路 左側 0 75 メートル 以内 余地 あけ おか なけれ なら ない,0
14,白 黄 杖 持っ 歩い いる 人 歩行 補助 者 使っ い その 通行 支障 ある 高齢 者 通行 し いる 場合 あらかじめ 手前 減速 し これ ら 人 安全 に 通れる よう に し なけれ なら ない,0
15,高速 道路 走行 する とき タイヤ 空気 圧 やや 低め に し おく よい,0
16,自転 車 横断 帯 近づい た とき 自転 車 い ない こと 明らか な 場合 徐行 し なけれ なら ない,0
17,追い越し する とき 前 車 車間 距離 できる つめ その 直近 追い越し 運転 操作 入っ た ほう よい,0
18,同乗 者 車 降りる 際 ドア 不 用意 開け た こと よっ 交通 事故 発生 し た とき その 同乗 者 注意 おこたっ た 運転 者 責任 及ぶ で 運転 者 同乗 者 ドア 不 用意 開け ない よう に 注意 し なけれ なら ない,1
19,横断 歩道 直前 停止 し いる 車 ある とき その 側方 通っ 前方 出る とき 徐行 し なけれ なら ない,0
20,車 交差 点 右折 また 左折 する とき 横断 歩道 歩行 者 い ない 確認 し また 車 左側 通行 し いる 歩行 者 自転 車 巻き込ま ない よう に し なけれ なら ない,1
21,観光 バス 運転 中 高速 道路 故障 し 動か なく なっ た で 事業 所 連絡 し た 後 他 観光 バス けん引 し パーキング エリア 移動 さ せ た,0
22,オートマチック 車 エンジン 始動 する とき ハンド ブレーキ かかっ おり チェンジ レバー P 位置 ある こと 確認 し た うえ ブレーキ ペダル 踏む こと 大切 で ある,1
23,後続 車 追い越さ れる とき 相手 追い越し ため 十分 な 余地 ない とき できる 左側 寄り 進路 ゆずる よい,1
24,交通 量 多い 市街 地 道路 前 照灯 下向き 切り替える よい,1
25,路線 バス 運転 者 夜間 乗客 い ない 場合 で あっ 運行 中 室内 灯 つけ おか なけれ なら ない,1
26,車 車庫 入れる ため 歩道 横切る 場合 その 直前 減速 する とも 歩行 者 通行 妨げ ない よう に し なけれ なら ない,0
27,タクシー 運転 中 乗客 停止 求め られ た 道路 曲がり角 で あっ た で 曲がり角 3 メートル 先 停車 し た,0
28,高速 道路 上 危険 な で 故障 やむ 得 ず 駐車 する 場合 必要 な 危険 防止 措置 とっ た 後 後続 事故 避ける ため 車 乗っ 待つ よい,0
29,幼児 自動 車 乗せる とき 運転 者 目 届き やすい 前部 座席 乗せる ほう よい,0
30,原動 機 付 自転 車 積載 装置 積める 積載 物 重量 60 キログラム で ある,0
31,旅客 自動 車 運転 者 乗務 終了 し た 運転 者 ハンドル ブレーキ つい 異常 ない 申し継ぎ 受け た 場合 点検 省略 し よい,0
32,タクシー 運転 中 乗客 ラジオ 音量 もっと 上げろ 言わ れ た 緊急 自動 車 サイレン 聞こえ なく なる 困る で 断っ た,1
33,自動 車 損害 賠償 責任 保険 証明 書 また 責任 共済 証明 書 有効 期限 過ぎ いる バス タクシー 運転 し た 場合 車 所有 者 で ある 会社 運転 者 責任 おわ なけれ なら ない,1
34,路線 バス 運転 中 停留 所 盲導 犬 連れ た 乗客 乗車 しよう し た 他 乗客 迷惑 に なる 恐れ ある で 乗車 断っ た,0
35,自動 車 運転 者 シート ベルト 装着 し 乗車 し いる 人 装着 する よう 指示 し なけれ なら ない,1
36,交通 事故 起こし た とき 後続 事故 恐れ ある 場合 負傷 者 頭部 傷 負っ いる 時 医者 緊急 自動 車 到着 する その 負傷 者 移動 さて なら ない,0
37,この 信号 機 信号 対面 する 車 交差 点 徐行 し なけれ なら ない,0
38,この 信号 機 信号 対する 車 徐行 し 通行 する こと できる,0
39,路側 帯 通行 し いる 歩行 者 側方 通過 する 時 その 歩行 者 間 安全 な 間隔 あける 手前 減速 し 通行 し なけれ なら ない,0
40,車掌 乗務 し ない 路線 バス 運転 者 停留 所 発進 する とき 安全 確認 でき た 場合 除い 警音 器 鳴らさ なけれ なら ない,1
41,狭い 坂道 行き違う とき 下り 車 加速 つく で 上り 車 ゆずる よい,0
42,普通 自動 二 輪 車 積載 装置 積める 積載 物 重量 80 キログラム で ある,0
43,旅客 自動 車 運転 者 山間 部 危険 な 場所 通過 する とき 乗客 降ろさ なけれ なら ない,1
44,故障 車 やむ 得 ず 一般 車両 けん引 する とき 丈夫 な ロープ 確実 に つなぎ ロープ 30 センチメートル 平方 以下 赤い 布 つけ なけれ なら ない,0
45,普通 自動 二 輪 免許 小型 特殊 自動 車 運転 でき ない 原動 機 付 自転 車 運転 できる,0
46,ガソリン スタンド 出る とき 誘導 員 合図 あっ た で 徐行 し 歩道 横切っ た,0
47,普通 自動 車 高速 自動 車 国道 本線 車 道 中央 分離 帯 ある ところ 通行 する とき 法定 最高 速度 80 キロメートル毎時 で ある,0
48,タクシー ハイヤー 一 日 一 回 日常 点検 他 3 ヶ月 ごと 定期 点検 行わ な なけれ なら ない,1
49,トンネル 内 通行 する とき 方向 指示 器 つける 非常 点滅 表示 灯 つける よう に する,0
50,路面 ぬれ タイヤ すり減っ いる 時 停止 距離 乾燥 し た 路面 タイヤ 状態 よい 時 約 2 倍 程度 伸びる こと ある,1
51,道路 平行 し 駐車 し いる 車 右側 停車 できる 駐車 でき ない,0
52,横断 歩道 自転 車 横断 帯 その 前後 10 メートル 以内 場所 駐車 停車 し なら ない,0
53,道路 工事 区域 端 5 メートル 以内 場所 停車 できる 駐車 でき ない,1
